"Read","Counts","Read Position Start","Read Position End","Read Size (rs)","Mean Read Size (mrs)","mrs/rs"
"SL2.50ch00:10910370-10911449","155","10910370","10911449","1079","1336.01441019","0.807626019429"
"SL2.50ch00:10914174-10914910","75","10914174","10914910","736","1336.01441019","0.550892261631"
"SL2.50ch00:10914338-10914844","72","10914338","10914844","506","1336.01441019","0.378738429871"
"SL2.50ch00:10917250-10919722","515","10917250","10919722","2472","1336.01441019","1.85027944396"
"SL2.50ch00:10917261-10919734","514","10917261","10919734","2473","1336.01441019","1.85102793888"
"SL2.50ch00:10926623-10928866","262","10926623","10928866","2243","1336.01441019","1.67887410712"
"SL2.50ch00:10926626-10929287","289","10926626","10929287","2661","1336.01441019","1.99174498397"
"SL2.50ch00:10930953-10933110","167","10930953","10933110","2157","1336.01441019","1.61450354394"
"SL2.50ch00:10931866-10933008","129","10931866","10933008","1142","1336.01441019","0.854781199433"
"SL2.50ch00:10936035-10937735","52","10936035","10937735","1700","1336.01441019","1.27244136518"
"SL2.50ch00:10940054-10943891","192","10940054","10943891","3837","1336.01441019","2.8719750107"
"SL2.50ch00:10945399-10946478","66","10945399","10946478","1079","1336.01441019","0.807626019429"
"SL2.50ch00:10947725-10954068","324","10947725","10954068","6343","1336.01441019","4.74770328196"
"SL2.50ch00:10956482-10960667","185","10956482","10960667","4185","1336.01441019","3.13245124311"
"SL2.50ch00:10963552-10964142","34","10963552","10964142","590","1336.01441019","0.44161200321"
"SL2.50ch00:10971004-10972145","89","10971004","10972145","1141","1336.01441019","0.854032704512"
"SL2.50ch00:10971048-10972223","89","10971048","10972223","1175","1336.01441019","0.879481531816"
"SL2.50ch00:10985064-10986782","138","10985064","10986782","1718","1336.01441019","1.28591427375"
"SL2.50ch00:10985073-10986834","138","10985073","10986834","1761","1336.01441019","1.31809955534"
"SL2.50ch00:10990687-10995808","343","10990687","10995808","5121","1336.01441019","3.83304248888"
"SL2.50ch00:10998618-11000310","114","10998618","11000310","1692","1336.01441019","1.26645340581"
"SL2.50ch00:11005052-11006987","123","11005052","11006987","1935","1336.01441019","1.44833767154"
"SL2.50ch00:11007680-11008269","27","11007680","11008269","589","1336.01441019","0.440863508289"
"SL2.50ch00:11012514-11012895","8","11012514","11012895","381","1336.01441019","0.285176564785"
"SL2.50ch00:11031644-11031975","8","11031644","11031975","331","1336.01441019","0.24775181875"
"SL2.50ch00:11055079-11077480","17647","11055079","11077480","22401","1336.01441019","16.7670347185"
"SL2.50ch00:11055103-11077486","17647","11055103","11077486","22383","1336.01441019","16.7535618099"
"SL2.50ch00:11141761-11146375","219","11141761","11146375","4614","1336.01441019","3.45355556408"
