"Read","Counts","Read Position Start","Read Position End","Read Size (rs)","Mean Read Size (mrs)","mrs/rs"
"SL2.50ch00:10508251-10508728","86","10508251","10508728","477","1549.65308533","0.307810828447"
"SL2.50ch00:10574808-10576025","417","10574808","10576025","1217","1549.65308533","0.785337061258"
"SL2.50ch00:10574831-10576116","417","10574831","10576116","1285","1549.65308533","0.829217850219"
"SL2.50ch00:10577299-10578748","233","10577299","10578748","1449","1549.65308533","0.935047988302"
"SL2.50ch00:10577320-10578111","186","10577320","10578111","791","1549.65308533","0.510436824532"
"SL2.50ch00:10583343-10583980","65","10583343","10583980","637","1549.65308533","0.41105974365"
"SL2.50ch00:10588089-10588760","127","10588089","10588760","671","1549.65308533","0.43300013813"
"SL2.50ch00:10591312-10591687","49","10591312","10591687","375","1549.65308533","0.241989645006"
"SL2.50ch00:10600386-10601998","324","10600386","10601998","1612","1549.65308533","1.04023282066"
"SL2.50ch00:10601298-10602118","171","10601298","10602118","820","1549.65308533","0.529150690412"
"SL2.50ch00:10604587-10606328","935","10604587","10606328","1741","1549.65308533","1.12347725855"
"SL2.50ch00:10604618-10606322","932","10604618","10606322","1704","1549.65308533","1.09960094691"
"SL2.50ch00:10607799-10610148","1147","10607799","10610148","2349","1549.65308533","1.51582313632"
"SL2.50ch00:10607825-10610081","1147","10607825","10610081","2256","1549.65308533","1.45580970435"
"SL2.50ch00:10617034-10618103","1017","10617034","10618103","1069","1549.65308533","0.689831814696"
"SL2.50ch00:10617063-10618124","1014","10617063","10618124","1061","1549.65308533","0.684669368936"
"SL2.50ch00:10627454-10628374","719","10627454","10628374","920","1549.65308533","0.593681262414"
"SL2.50ch00:10627488-10628370","690","10627488","10628370","882","1549.65308533","0.569159645053"
"SL2.50ch00:10630268-10631004","321","10630268","10631004","736","1549.65308533","0.474945009931"
"SL2.50ch00:10630273-10630919","321","10630273","10630919","646","1549.65308533","0.41686749513"
"SL2.50ch00:10632670-10636807","1875","10632670","10636807","4137","1549.65308533","2.6696297637"
"SL2.50ch00:10632690-10636727","1868","10632690","10636727","4037","1549.65308533","2.6050991917"
"SL2.50ch00:10638561-10640200","1802","10638561","10640200","1639","1549.65308533","1.0576560751"
"SL2.50ch00:10638613-10640277","1773","10638613","10640277","1664","1549.65308533","1.07378871811"
"SL2.50ch00:10642031-10643876","1330","10642031","10643876","1845","1549.65308533","1.19058905343"
"SL2.50ch00:10642060-10643975","1330","10642060","10643975","1915","1549.65308533","1.23576045383"
"SL2.50ch00:10644553-10646100","629","10644553","10646100","1547","1549.65308533","0.998287948863"
"SL2.50ch00:10644582-10645685","588","10644582","10645685","1103","1549.65308533","0.711772209177"
"SL2.50ch00:10651659-10652255","248","10651659","10652255","596","1549.65308533","0.384602209129"
"SL2.50ch00:10651669-10652308","248","10651669","10652308","639","1549.65308533","0.41235035509"
"SL2.50ch00:10653404-10654598","492","10653404","10654598","1194","1549.65308533","0.770495029698"
"SL2.50ch00:10653567-10654616","487","10653567","10654616","1049","1549.65308533","0.676925700296"
"SL2.50ch00:10656054-10657819","441","10656054","10657819","1765","1549.65308533","1.13896459583"
"SL2.50ch00:10656073-10657764","438","10656073","10657764","1691","1549.65308533","1.09121197255"
"SL2.50ch00:10659590-10661157","201","10659590","10661157","1567","1549.65308533","1.01119406326"
"SL2.50ch00:10663998-10664883","778","10663998","10664883","885","1549.65308533","0.571095562213"
"SL2.50ch00:10664310-10664854","753","10664310","10664854","544","1549.65308533","0.351046311688"
"SL2.50ch00:10665513-10666162","1374","10665513","10666162","649","1549.65308533","0.41880341229"
"SL2.50ch00:10665525-10666271","1374","10665525","10666271","746","1549.65308533","0.481398067131"
"SL2.50ch00:10667182-10669646","4759","10667182","10669646","2464","1549.65308533","1.59003329412"
"SL2.50ch00:10667219-10669649","4759","10667219","10669649","2430","1549.65308533","1.56809289964"
"SL2.50ch00:10672269-10673004","1017","10672269","10673004","735","1549.65308533","0.474299704211"
"SL2.50ch00:10672295-10673041","1017","10672295","10673041","746","1549.65308533","0.481398067131"
"SL2.50ch00:10675322-10676638","1378","10675322","10676638","1316","1549.65308533","0.84922232754"
"SL2.50ch00:10675715-10676647","1297","10675715","10676647","932","1549.65308533","0.601424931054"
"SL2.50ch00:10680494-10686454","13460","10680494","10686454","5960","1549.65308533","3.84602209129"
"SL2.50ch00:10680581-10686405","13396","10680581","10686405","5824","1549.65308533","3.75826051337"
"SL2.50ch00:10687232-10692825","12011","10687232","10692825","5593","1549.65308533","3.60919489204"
"SL2.50ch00:10687260-10692761","12001","10687260","10692761","5501","1549.65308533","3.5498267658"
"SL2.50ch00:10721753-10722752","203","10721753","10722752","999","1549.65308533","0.644660414295"
"SL2.50ch00:10729271-10730740","773","10729271","10730740","1469","1549.65308533","0.947954102702"
"SL2.50ch00:10729357-10730676","770","10729357","10730676","1319","1549.65308533","0.8511582447"
"SL2.50ch00:10731556-10732670","659","10731556","10732670","1114","1549.65308533","0.718870572097"
"SL2.50ch00:10731625-10733902","847","10731625","10733902","2277","1549.65308533","1.46936112447"
"SL2.50ch00:10734439-10737127","292","10734439","10737127","2688","1549.65308533","1.7345817754"
"SL2.50ch00:10743514-10745178","378","10743514","10745178","1664","1549.65308533","1.07378871811"
"SL2.50ch00:10743717-10745260","366","10743717","10745260","1543","1549.65308533","0.995706725983"
"SL2.50ch00:10746690-10748940","483","10746690","10748940","2250","1549.65308533","1.45193787003"
"SL2.50ch00:10746880-10748766","452","10746880","10748766","1886","1549.65308533","1.21704658795"
"SL2.50ch00:10776577-10777822","305","10776577","10777822","1245","1549.65308533","0.803405621419"
"SL2.50ch00:10776623-10777730","305","10776623","10777730","1107","1549.65308533","0.714353432057"
"SL2.50ch00:10778513-10781161","498","10778513","10781161","2648","1549.65308533","1.7087695466"
"SL2.50ch00:10782742-10784037","221","10782742","10784037","1295","1549.65308533","0.835670907419"
"SL2.50ch00:10783585-10783949","137","10783585","10783949","364","1549.65308533","0.234891282085"
"SL2.50ch00:10788579-10789335","247","10788579","10789335","756","1549.65308533","0.487851124331"
"SL2.50ch00:10788604-10789234","246","10788604","10789234","630","1549.65308533","0.406542603609"
"SL2.50ch00:10793398-10793864","116","10793398","10793864","466","1549.65308533","0.300712465527"
"SL2.50ch00:10793503-10794068","125","10793503","10794068","565","1549.65308533","0.364597731809"
"SL2.50ch00:10798377-10803492","927","10798377","10803492","5115","1549.65308533","3.30073875788"
"SL2.50ch00:10799510-10800069","168","10799510","10800069","559","1549.65308533","0.360725897488"
"SL2.50ch00:10802221-10803440","287","10802221","10803440","1219","1549.65308533","0.786627672698"
"SL2.50ch00:10830671-10832340","920","10830671","10832340","1669","1549.65308533","1.07701524671"
"SL2.50ch00:10830783-10832339","920","10830783","10832339","1556","1549.65308533","1.00409570034"
"SL2.50ch00:10834926-10835824","553","10834926","10835824","898","1549.65308533","0.579484536574"
"SL2.50ch00:10834966-10835770","537","10834966","10835770","804","1549.65308533","0.518825798892"
"SL2.50ch00:10842034-10842622","187","10842034","10842622","588","1549.65308533","0.379439763369"
"SL2.50ch00:10842053-10842619","187","10842053","10842619","566","1549.65308533","0.365243037529"
"SL2.50ch00:10843882-10845225","276","10843882","10845225","1343","1549.65308533","0.86664558198"
"SL2.50ch00:10843914-10845152","276","10843914","10845152","1238","1549.65308533","0.798888481379"
"SL2.50ch00:10846196-10847084","461","10846196","10847084","888","1549.65308533","0.573031479373"
"SL2.50ch00:10846198-10847139","461","10846198","10847139","941","1549.65308533","0.607232682534"
"SL2.50ch00:10848766-10850022","478","10848766","10850022","1256","1549.65308533","0.810503984339"
"SL2.50ch00:10848846-10850034","470","10848846","10850034","1188","1549.65308533","0.766623195378"
"SL2.50ch00:10854412-10857486","727","10854412","10857486","3074","1549.65308533","1.98366978333"
"SL2.50ch00:10855515-10857404","530","10855515","10857404","1889","1549.65308533","1.21898250511"
"SL2.50ch00:10910102-10911481","444","10910102","10911481","1379","1549.65308533","0.889876587901"
"SL2.50ch00:10910254-10911483","434","10910254","10911483","1229","1549.65308533","0.793080729898"
"SL2.50ch00:10913428-10914869","269","10913428","10914869","1441","1549.65308533","0.929885542542"
"SL2.50ch00:10914214-10915006","234","10914214","10915006","792","1549.65308533","0.511082130252"
"SL2.50ch00:10917300-10919792","1304","10917300","10919792","2492","1549.65308533","1.60810185428"
"SL2.50ch00:10917329-10919689","1298","10917329","10919689","2360","1549.65308533","1.52292149924"
"SL2.50ch00:10926668-10929216","646","10926668","10929216","2548","1549.65308533","1.6442389746"
"SL2.50ch00:10927570-10928982","514","10927570","10928982","1412","1549.65308533","0.911171676661"
"SL2.50ch00:10931044-10933170","558","10931044","10933170","2126","1549.65308533","1.37191996075"
"SL2.50ch00:10931687-10933075","488","10931687","10933075","1388","1549.65308533","0.895684339381"
"SL2.50ch00:10935727-10937883","319","10935727","10937883","2156","1549.65308533","1.39127913235"
"SL2.50ch00:10938577-10943962","996","10938577","10943962","5385","1549.65308533","3.47497130228"
"SL2.50ch00:10945239-10960714","2331","10945239","10960714","15475","1549.65308533","9.98610601723"
"SL2.50ch00:10953617-10953981","65","10953617","10953981","364","1549.65308533","0.234891282085"
"SL2.50ch00:10955011-10955564","87","10955011","10955564","553","1549.65308533","0.356854063168"
"SL2.50ch00:10960146-10960643","129","10960146","10960643","497","1549.65308533","0.320716942847"
"SL2.50ch00:10963562-10964175","61","10963562","10964175","613","1549.65308533","0.395572406369"
"SL2.50ch00:10963742-10964106","54","10963742","10964106","364","1549.65308533","0.234891282085"
"SL2.50ch00:10971080-10972214","144","10971080","10972214","1134","1549.65308533","0.731776686497"
"SL2.50ch00:10984444-10986807","538","10984444","10986807","2363","1549.65308533","1.5248574164"
"SL2.50ch00:10985090-10986751","503","10985090","10986751","1661","1549.65308533","1.07185280095"
"SL2.50ch00:10990771-10995810","1401","10990771","10995810","5039","1549.65308533","3.25169552316"
"SL2.50ch00:10990802-10992391","565","10990802","10992391","1589","1549.65308533","1.0253907891"
"SL2.50ch00:10992925-10994493","379","10992925","10994493","1568","1549.65308533","1.01183936898"
"SL2.50ch00:10995147-10995695","258","10995147","10995695","548","1549.65308533","0.353627534568"
"SL2.50ch00:10998547-11000247","485","10998547","11000247","1700","1549.65308533","1.09701972403"
"SL2.50ch00:10998634-11000359","485","10998634","11000359","1725","1549.65308533","1.11315236703"
"SL2.50ch00:11004863-11006838","614","11004863","11006838","1975","1549.65308533","1.27447879703"
"SL2.50ch00:11004911-11007134","645","11004911","11007134","2223","1549.65308533","1.43451461559"
"SL2.50ch00:11012419-11012887","79","11012419","11012887","468","1549.65308533","0.302003076967"
"SL2.50ch00:11016290-11017393","99","11016290","11017393","1103","1549.65308533","0.711772209177"
"SL2.50ch00:11028979-11029941","111","11028979","11029941","962","1549.65308533","0.620784102654"
"SL2.50ch00:11031485-11032090","70","11031485","11032090","605","1549.65308533","0.390409960609"
"SL2.50ch00:11049670-11050591","77","11049670","11050591","921","1549.65308533","0.594326568134"
"SL2.50ch00:11055017-11077585","38705","11055017","11077585","22568","1549.65308533","14.5632594893"
"SL2.50ch00:11055336-11077495","38645","11055336","11077495","22159","1549.65308533","14.2993294498"
"SL2.50ch00:11141723-11142946","214","11141723","11142946","1223","1549.65308533","0.789208895578"
"SL2.50ch00:11141791-11146360","699","11141791","11146360","4569","1549.65308533","2.94840183475"
"SL2.50ch00:11147045-11148514","326","11147045","11148514","1469","1549.65308533","0.947954102702"
"SL2.50ch00:11147397-11148370","270","11147397","11148370","973","1549.65308533","0.627882465575"
"SL2.50ch00:11154592-11157099","278","11154592","11157099","2507","1549.65308533","1.61778144008"
"SL2.50ch00:11160641-11161016","48","11160641","11161016","375","1549.65308533","0.241989645006"
"SL2.50ch00:11182279-11182999","81","11182279","11182999","720","1549.65308533","0.464620118411"
"SL2.50ch00:11182380-11182970","81","11182380","11182970","590","1549.65308533","0.380730374809"
"SL2.50ch00:11184514-11185940","256","11184514","11185940","1426","1549.65308533","0.920205956741"
"SL2.50ch00:11184589-11186007","256","11184589","11186007","1418","1549.65308533","0.915043510981"
"SL2.50ch00:11239893-11240848","197","11239893","11240848","955","1549.65308533","0.616266962614"
"SL2.50ch00:11239935-11240870","197","11239935","11240870","935","1549.65308533","0.603360848214"
"SL2.50ch00:11242536-11243721","262","11242536","11243721","1185","1549.65308533","0.764687278218"
"SL2.50ch00:11243071-11243435","106","11243071","11243435","364","1549.65308533","0.234891282085"
"SL2.50ch00:11244921-11246560","416","11244921","11246560","1639","1549.65308533","1.0576560751"
"SL2.50ch00:11245036-11246641","405","11245036","11246641","1605","1549.65308533","1.03571568062"
"SL2.50ch00:11251474-11254488","703","11251474","11254488","3014","1549.65308533","1.94495144013"
"SL2.50ch00:11252925-11254491","451","11252925","11254491","1566","1549.65308533","1.01054875754"
"SL2.50ch00:11256104-11258743","379","11256104","11258743","2639","1549.65308533","1.70296179512"
"SL2.50ch00:11295429-11296112","111","11295429","11296112","683","1549.65308533","0.44074380677"
"SL2.50ch00:11297140-11297876","103","11297140","11297876","736","1549.65308533","0.474945009931"
"SL2.50ch00:11301387-11302198","130","11301387","11302198","811","1549.65308533","0.523342938932"
"SL2.50ch00:11302688-11304930","218","11302688","11304930","2242","1549.65308533","1.44677542427"
"SL2.50ch00:11307746-11308433","69","11307746","11308433","687","1549.65308533","0.44332502965"
"SL2.50ch00:11310302-11313701","1513","11310302","11313701","3399","1549.65308533","2.19339414233"
